event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
es_llerena_2025_0814,205,41,True,True,True,False,A2025,1.2218125149885242,high,50.35606002807617,52.47611999511719,54.51755905151367,41.16529846191406,47.10041809082031,123.41071319580078,56.20613861083984,43.23637008666992,51.60824203491211,50.06835174560547,51.43136215209961,39.25083923339844,50.31219482421875,50.31219482421875,50.31219482421875,37.27804946899414,-0.000871860271862,0.0638369434014909,-0.0257601008109764,-0.0430099537191486,-1.4528986188532298,0.0048465999041628,-0.0835853860478093,-0.1171474193724486,-0.0222444544864524,-0.1042771563504985,-0.1598345595477464,-0.0529209492584947,33,-0.1104602347800116,-0.2442694064641513,8,-0.006722661242335,0.246425092026712
es_murias_de_paredes_2025_0821,181,169,True,False,False,False,A2025,0.7297570722110295,low,2185.16943359375,2743.944580078125,3015.944580078125,2992.92578125,1492.0992431640625,2804.21875,3222.2666015625,3125.00341796875,1771.6236572265625,2542.935302734375,2978.8095703125,3009.22119140625,1718.671630859375,2514.43408203125,3428.970703125,4341.24560546875,-0.2714292796589161,0.1318299456551925,-0.0308098565289696,-0.0912771981922342,-0.1152484648691412,-0.0113350438998587,0.1204519253169654,0.0602816761817532,0.1312817086486754,0.3105836312325305,0.2801597278826787,0.3068300057440941,135,0.1757708300813083,0.1150374809566225,34,-0.3146935909976329,-0.3704357800553668
es_navaconcejo_2025_0812,205,200,True,True,True,False,A2025,0.698647039684775,low,2524.371826171875,3187.847412109375,3372.864990234375,3225.597900390625,1526.017822265625,2697.45166015625,3003.487548828125,3153.136962890625,1693.0859375,2260.76416015625,2818.306884765625,3084.728759765625,1672.6031494140625,2122.027587890625,2872.340087890625,3549.027587890625,-0.5092473232853827,0.0876390357149503,-0.0122460537594424,-0.5022648293079992,-0.271167102420953,-0.0653792500424248,-0.1742568383367595,-0.0456587510268713,0.0188115618177653,0.0911319169801752,0.1115490413066354,0.1308242375204971,152,-0.2415149169947921,-0.0860636064455437,48,-0.0712855552641307,0.0162004787169229
es_oimbra_2025_0813,229,220,True,False,False,False,A2025,0.889396814880961,mid,5497.724609375,7262.0615234375,8058.59228515625,8272.3447265625,3590.854248046875,7578.138671875,8406.146484375,8684.7705078125,4530.7822265625,6040.60791015625,7024.3076171875,7342.91064453125,4952.5283203125,7703.14794921875,10940.806640625,13363.14453125,-0.1100844364334898,0.2749452368966372,0.0851577348927483,0.0572605418835275,0.0162283365408331,0.2158260557920498,0.2634370983915041,0.2316703182412888,0.3579716882021203,0.3809582237760398,0.3500952947487039,0.4505102726862157,163,0.2022161883955739,0.1991705092266107,57,0.4085125583146013,0.3086850522527662
es_peranzanes_2025_0810,181,181,True,False,False,False,A2025,0.8958379429098421,mid,4100.041015625,4979.7451171875,5046.1328125,5164.2333984375,2662.625,4389.28662109375,4985.26318359375,5442.70947265625,3286.780029296875,4037.580078125,4455.96630859375,4978.56884765625,3137.437744140625,4302.7041015625,4797.033203125,5289.8095703125,-0.3068119114975591,0.1513377420882277,-0.0476000792159643,-0.1573524461928805,-0.0201228152081869,0.06161800048979,-0.0519278476564901,-0.0392388321069214,0.0710995484269452,0.023739261348794,-0.0289046137316275,0.0588377934062119,151,-0.019008489196352,-0.0003628874161623,30,-0.1860006713083135,-0.1975720103116516
es_puertas_2025_0813,181,66,True,True,True,False,A2025,1.2804759550903553,high,1195.4150390625,1533.1513671875,1601.898193359375,1618.4766845703125,787.869140625,1360.451171875,1655.24267578125,1547.147705078125,1001.17529296875,1462.5133056640625,1641.768798828125,1700.4425048828125,1075.560546875,1921.378662109375,2879.26953125,3276.024169921875,-0.1114344446119119,0.2674804380709913,0.0691595225600023,0.2020566286999678,0.2919401059750314,0.2388208870507334,0.4436442382440207,0.4251171493963448,0.4297967658083851,0.5059631429370959,0.527736175061547,0.4809432358603862,42,0.3788266690230287,0.3376211808687482,24,0.4803425336320033,0.4746554994768639
es_rua_a_2025_0808,397,397,True,False,True,True,A2025,0.6854530528585924,low,11362.6484375,14538.33984375,15768.01171875,17254.56640625,8423.8271484375,15098.6572265625,16613.73046875,17806.80859375,8838.6826171875,12283.4970703125,14354.2138671875,16062.58984375,8941.765625,13207.50390625,17455.931640625,21905.556640625,-0.2707387907519663,0.0579235129038063,0.0115282609873259,-0.1007636224790535,-0.1431877918595636,0.0699607467464192,0.096696066221222,0.0482472771556319,0.1776884693005388,0.2123201117724392,0.1871099700463058,0.2667344588741887,315,0.0319414993158806,-0.0121047507295937,82,0.2631257208137768,0.203361688160923
es_una_de_quintana_2025_0810,181,179,True,False,False,False,A2025,1.0565456689534196,mid,2502.689697265625,2897.32080078125,2765.29638671875,2781.11279296875,1698.2247314453125,2547.197509765625,2666.92822265625,2692.995849609375,2141.4052734375,2554.817138671875,2603.4580078125,2756.9365234375,2453.947509765625,3366.376708984375,3491.887451171875,3954.55029296875,-0.019862766952442,0.307962079593337,0.1273630487548511,0.1393355375087055,0.2433415122652431,0.2410780612123902,0.2080797490220601,0.2362502343077436,0.254426712138508,0.2967309587859812,0.3190133769704327,0.3028444907277131,127,0.1543330894295979,0.1850682337332065,52,0.2556929002381899,0.2815913369122589
es_valmojado_2025_0717,181,27,True,True,True,False,A2025,1.1462784863860478,high,115.23938751220705,116.72325897216795,116.43709564208984,116.28490447998048,98.14511108398438,124.51183319091795,127.04469299316406,117.77780151367188,160.75283813476562,143.71490478515625,127.1344757080078,120.9736328125,201.0518493652344,220.9851837158203,220.9851837158203,220.9851837158203,0.426817570313113,0.5118417891014162,0.200440888048042,0.4718050458881884,0.4365602657278775,0.3496627132705471,0.4730999894009902,0.4250985932317555,0.4246923093654162,0.4737886833647678,0.4670330402551772,0.4525712956029299,18,0.6960893040098186,0.6258006264065379,9,8.980924444679239e-06,-0.0007081997780058
es_villablino_2025_0809,181,181,True,False,False,False,A2025,0.8942853153911272,mid,2996.69677734375,3823.772705078125,4014.953125,4482.54833984375,2119.468505859375,3397.634033203125,4007.519775390625,4723.853515625,2510.728759765625,3129.83056640625,3583.45263671875,4337.71337890625,2372.323486328125,3242.054931640625,3628.439453125,4120.25048828125,-0.2631906207622756,0.1065853716518728,-0.0583416529133316,-0.1794287221232013,-0.0479878055254818,0.0346151954857792,-0.1065233902531057,-0.104474754825836,0.0123983924735205,-0.0879310256968457,-0.1464966824372713,-0.0527790461389434,156,-0.1315515677530829,-0.1141637346915975,25,0.0130198111222293,-0.0581960841575441
