event,block,n_fire,peak_utc,SS_M2,SS_B6,M2_wins,worst_day_M2,worst_day_share_M2,worst_day_is_postpeak,postpeak_n,postpeak_bias_M2,postpeak_bias_B6,postpeak_dAE,total_dAE,rest_dAE,decided_by_postpeak
mk_vasilevo_2025_0701,A2025,385,2025-07-02 15:00:00,0.2674027681350708,0.2671281695365906,True,2025-07-25,0.3061476311104339,False,20,-44.20326232910156,-83.89409637451172,-323.7735900878906,33.907379150390625,357.68096923828125,False
pt_entre_ambos_os_rio_2025_0726,A2025,168,2025-07-30 19:00:00,0.23626989126205444,0.27465927600860596,False,2025-07-30,0.33711252408486825,False,24,-1044.20263671875,-1321.1158447265625,3006.38720703125,-10109.4248046875,-13115.81201171875,False
pt_ervededo_2025_0819,A2025,130,2025-08-18 15:00:00,0.23748499155044556,0.23757731914520264,False,2025-08-28,0.469919355577479,False,0,,,0.0,-10.123741149902344,-10.123741149902344,False
pt_lazarim_2025_0908,A2025,329,2025-09-08 17:00:00,0.3993304967880249,0.37634098529815674,True,2025-09-12,0.16189704887050396,False,0,,,0.0,3054.12353515625,3054.12353515625,False
pt_lousa_e_vilarinho_2025_0814,A2025,172,2025-08-15 11:00:00,0.35705143213272095,0.37221282720565796,False,2025-08-17,0.3888116757183616,False,24,-1909.419921875,-1259.1468505859375,4637.359375,-10847.037109375,-15484.396484375,False
pt_medelim_2025_0728,A2025,120,2025-07-28 20:00:00,0.37906789779663086,0.24227380752563477,True,2025-07-30,0.8170205330143029,False,1,557.3499755859375,3.133028268814087,-554.2169189453125,3825.325439453125,4379.5423583984375,False
pt_pena_quinta_e_vila_2025_0803,A2025,174,2025-08-04 02:00:00,0.3488619923591614,0.29208511114120483,True,2025-08-10,0.3560825683094161,False,24,-5.066555023193359,751.2761840820312,12097.203125,20333.599609375,8236.396484375,False
pt_real_2025_0728,A2025,223,2025-07-29 05:00:00,0.05707573890686035,0.024676024913787842,True,2025-08-03,0.2697909601129176,False,24,1441.0479736328125,-555.3085327148438,3372.830810546875,16335.556640625,12962.725830078125,False
pt_trancoso_sao_pedro_2025_0808,A2025,349,2025-08-15 15:00:00,0.35158807039260864,0.15407943725585938,True,2025-08-14,0.25117209882854513,False,24,-5977.5234375,-4910.92138671875,-11314.818359375,845499.5,856814.318359375,False
pt_vale_das_fontes_2025_0828,A2025,47,2025-08-28 18:00:00,0.34593135118484497,0.3420242667198181,True,2025-09-06,0.44841790723601643,False,1,0.0,1.267392873764038,1.267392873764038,70.26960754394531,69.00221467018127,False
rs_zitoraa_2025_0706,A2025,85,2025-07-07 15:00:00,0.25332361459732056,0.0586315393447876,True,2025-07-08,0.5524393779927131,True,16,-102.74095916748047,-75.65084838867188,284.74127197265625,854.035888671875,569.2946166992188,False
tr_n_a_2025_0625,A2025,225,2025-07-03 16:00:00,0.3088749051094055,0.32512354850769043,False,2025-07-03,0.37605712865051355,False,16,343.7278137207031,-180.27206420898438,-5012.32275390625,-5306.0068359375,-293.68408203125,False
tr_n_a_2025_0630,A2025,89,2025-06-30 09:00:00,0.2704615592956543,0.24726617336273193,True,2025-07-04,0.8251003812438786,False,0,,,0.0,548.6946411132812,548.6946411132812,False
tr_n_a_2025_0630_b,A2025,119,2025-06-29 15:00:00,0.20891308784484863,0.2734310030937195,False,2025-07-03,0.5261817896104289,False,0,,,0.0,-10225.8095703125,-10225.8095703125,False
tr_n_a_2025_0720,A2025,106,2025-07-21 16:00:00,0.4949665665626526,0.38962453603744507,True,2025-07-23,0.6292757146893743,False,24,-1735.2442626953125,-1620.3443603515625,13983.0625,31511.46484375,17528.40234375,False
tr_n_a_2025_0723,A2025,128,2025-07-26 17:00:00,0.42346030473709106,0.43015480041503906,False,2025-07-26,0.6528642496656761,False,16,288.76165771484375,-26.29459571838379,-4238.80224609375,-1052.709716796875,3186.092529296875,True
