event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
fr_solaure_en_diois_2026_0703,181,122,True,True,True,False,B2026,1.0555303117903305,mid,469.5617980957031,523.5986938476562,579.2840576171875,542.1099853515625,336.4822998046875,604.905029296875,481.8782958984375,539.8740234375,442.7384033203125,475.6231689453125,533.30126953125,549.3754272460938,493.8811340332031,675.6417846679688,824.2901000976562,948.26806640625,0.04924127337867701,0.3186978067842815,0.10355271175321379,0.2250350618782868,0.10469564934598585,0.2960424003689345,0.2972327854616258,0.4154020582785747,0.3530175001882613,0.42831567933521897,0.4306736221925972,0.4206538776233193,95,0.23766680089047865,0.41481060922364155,27,0.3982368354372674,0.4164049338816602
gr_n37e22_2026_0731,181,72,True,True,True,False,B2026,0.7709836924374162,low,1082.46435546875,1334.25244140625,1265.0521240234375,1108.7528076171875,968.396728515625,1437.1063232421875,1256.34912109375,1130.7431640625,1129.00927734375,1451.208251953125,1346.74462890625,1300.3099365234375,1038.2291259765625,1450.7833251953125,1537.2193603515625,1749.826416015625,-0.042606423173285224,0.06726106570671753,-0.08743749245312227,0.08032273446027816,0.009427322271769123,-0.000292894707591973,0.1770516579142487,0.18271318102159306,0.12390862121444457,0.3663641161951192,0.3537969516786612,0.25689204104927266,53,0.05993776373368409,0.10014763298905527,19,0.3911598855027024,0.333660007887128
hr_knin_2026_0813,181,150,True,True,True,False,B2026,0.9540256518034672,mid,481.91510009765625,561.6171875,579.5821533203125,592.2376098632812,423.4066467285156,528.9337158203125,588.67529296875,638.8334350585938,484.9857177734375,550.6791381835938,591.147216796875,609.2634887695312,592.65673828125,782.6140747070312,932.556640625,1068.683349609375,0.18685628801716314,0.285578616795234,0.1816751815225568,0.28238297054619244,0.3241448973195161,0.2963592708325128,0.37850192892103995,0.36875116499709926,0.36610046934984264,0.44582498634440604,0.4022238343171529,0.42989334587066486,115,0.35931449793789527,0.34650558190587444,35,0.4303119022938805,0.42881824444883443
it_bivona_2026_0714,178,172,True,True,True,False,B2026,0.8707838062402543,mid,1508.0172119140625,1961.6748046875,2090.093994140625,2131.291015625,1004.32421875,1976.4100341796875,2129.9755859375,2022.3336181640625,1354.6453857421875,1895.9842529296875,2059.55859375,2151.668212890625,1502.5953369140625,2392.17919921875,3156.003662109375,3057.257568359375,-0.0036083400945028377,0.3316069908664704,0.09846293778318616,0.179963271427093,0.17380351989301068,0.20742381944091492,0.33774031404524074,0.3251035759211096,0.34741565148455666,0.3028748909864598,0.33851382392707163,0.2962097027221423,136,0.26735203587146794,0.2528163902712347,36,0.5669117398285783,0.5604581212991565
mk_prilep_2026_0812,181,98,True,True,True,False,B2026,0.892507662968877,mid,281.0015869140625,311.9799499511719,324.3605041503906,323.52264404296875,231.00962829589844,300.14117431640625,314.8382568359375,310.0661315917969,256.7126159667969,300.8394775390625,319.8003845214844,319.92755126953125,299.1408386230469,404.5939025878906,493.1938781738281,522.6408081054688,0.060637831305414,0.22775629914243134,0.14183360203022832,0.2289059524731717,0.2581668374223557,0.25644090132151554,0.34232658087441126,0.36163389131733803,0.35157268029030675,0.3809847240675436,0.4067318763038006,0.3878634306623643,97,0.3426338272892321,0.35828902011020347,1,0.2903480873286193,0.9273260497897391
pt_cambra_e_carvalhal_2026_0702,181,128,True,True,True,False,B2026,0.8007954026354461,low,436.23687744140625,479.5372314453125,619.276611328125,595.3594360351562,304.16546630859375,458.9833984375,294.60028076171875,209.41342163085938,329.7838439941406,319.34844970703125,322.8927001953125,353.9293212890625,361.86090087890625,465.49530029296875,590.0640869140625,758.1343383789062,-0.20553747691958923,0.1594409189558167,0.08864471626211956,-0.030165570186221347,0.013989189260064205,0.3139598842221545,-0.04950737565954766,0.5007317216975034,0.4527836766274188,0.21470456369488056,0.7237779493293481,0.5331575113114413,97,-0.16594909828718252,0.35206967136905987,31,0.2480517967505541,0.8806284952848725
pt_castedo_2026_0808,181,123,True,True,True,False,B2026,0.8410338498887994,mid,477.60552978515625,526.1243896484375,560.3323364257812,725.73681640625,331.35205078125,518.8438720703125,567.9208374023438,742.9158935546875,373.6331787109375,467.8034973144531,526.7916259765625,721.8798217773438,407.1341552734375,530.943115234375,608.6057739257812,823.4375,-0.17309128600224932,0.18613546299325112,0.0822848590042764,0.009075785046784857,0.02278820991721775,0.11891974132115846,0.07931807348559083,0.06684940936560846,0.13442880671584934,0.11864978652751423,0.09778715014231498,0.12333380277514228,98,0.05092345228996409,0.03298959374448818,25,0.1395286887292263,0.13864888156931854
pt_cerdeira_2026_0727,181,69,True,True,True,False,B2026,0.969917402743779,mid,30.096771240234375,39.92559051513672,56.16001510620117,77.24317169189453,25.097898483276367,36.19221878051758,37.56999206542969,40.658939361572266,33.166080474853516,39.668907165527344,37.462669372558594,37.10910415649414,33.60725021362305,40.16667175292969,42.16231918334961,43.475364685058594,0.10445600134121247,0.2531998802715887,0.013127219155546932,0.006002021757637532,0.09894902412775142,0.01239247778516872,-0.3319953976435768,0.10892017343613025,0.11146563808204746,-0.7767112996395658,0.06478209772106325,0.14643374643737905,49,-0.07822097088025326,-0.02802159916168856,20,-1.8011633714268926,0.9017117953826582
pt_vilarandelo_2026_0722,178,120,True,True,True,False,B2026,1.3404838956373606,high,1805.6568603515625,2013.3509521484375,2043.9747314453125,2070.895263671875,1163.3541259765625,1796.8297119140625,2013.105224609375,2051.983642578125,1579.2086181640625,1819.32080078125,2008.1268310546875,2038.02099609375,1860.639892578125,2377.421630859375,3231.691650390625,3497.3515625,0.029550603771252737,0.3747558941324186,0.15125510075144522,0.15313677388361924,0.24421074975053703,0.23475046362575003,0.3675217339506228,0.37707385407081007,0.3786143455821478,0.4078675744592448,0.413274986541155,0.4172673351040185,88,0.3678935118088299,0.3654633494596705,32,0.3669514904633112,0.3948795517406646
tn_n_a_2026_0714,178,139,True,True,True,False,B2026,1.1822744621944328,high,1417.2215576171875,1643.4752197265625,1871.0244140625,1958.176513671875,951.024169921875,1669.0955810546875,1821.7149658203125,1967.99462890625,1155.9185791015625,1473.909912109375,1759.100830078125,1941.650146484375,1180.161865234375,1586.3616943359375,1919.03369140625,2161.843017578125,-0.2008704901981675,0.1941578541575687,0.02054233986623344,-0.03600283944988547,-0.05215323025899399,0.07088659706551703,0.02501742286169517,0.05071235904911253,0.08334030926311031,0.09420966381472695,0.08966811516640094,0.10185423701135721,109,-0.0829051887823582,-0.029931046893121538,30,0.4752373096923347,0.38713226343244955
tr_n_a_2026_0729,181,65,True,True,True,False,B2026,0.9079612728209351,mid,28.06433868408203,27.857513427734375,28.003686904907227,26.456323623657227,27.6054744720459,27.16094398498535,29.46458625793457,26.154163360595703,28.957963943481445,28.72284698486328,28.842044830322266,27.50983238220215,29.41384506225586,26.76461410522461,29.413846969604492,27.536924362182617,0.04587997167039981,0.06148025143881919,0.015498861771030548,-0.040833741081154784,-0.014807980350569627,-0.07316499583890557,0.047942048048134844,-0.0017250136774871194,0.019439896449896965,0.03924188207487023,0.05021479462992995,0.0009838418998483478,59,-0.011783894503644143,-0.05636001431119131,6,0.9951830556599915,0.864774037714843
tr_n_a_2026_0729_b,181,55,True,True,True,False,B2026,0.8510789327985292,mid,182.29676818847656,210.8028106689453,210.35707092285156,203.31886291503906,121.82428741455078,306.5865783691406,219.90451049804688,210.5018768310547,243.73068237304688,378.3707275390625,322.8405456542969,207.84559631347656,208.845458984375,358.3708801269531,369.3927307128906,362.3199462890625,0.12712122602524345,0.4166773459811487,-0.1670384578066495,0.41177472177910135,0.14449918960901031,-0.05580768003534331,0.43053272727678293,0.40468641580018805,0.12602355484568617,0.43884165087386817,0.4190165929669404,0.42634790482206786,32,0.4190563089055167,0.12704500233309945,23,0.4348845418185987,0.5099657376842495
