event,block,fire_slots,duration_days,complete_days,gap_rate,sat_rate,peak_frp_mw,fire_slots>=15,duration>=5d,complete_days>=3,gap_rate<0.40,sat_rate<0.30,verdict
es_gallardos_los_2026_0709,test_B_2026,40,11,11,0.0,0.0186,16490.5,True,True,True,True,True,PASS
pt_cerdeira_2026_0727,test_B_2026,46,11,11,0.0,0.0114,16340.6,True,True,True,True,True,PASS
es_nules_2026_0725,test_B_2026,77,11,11,0.0,0.028,16140.2,True,True,True,True,True,PASS
gr_n37e22_2026_0731,test_B_2026,88,11,11,0.0,0.0275,14772.7,True,True,True,True,True,PASS
es_valdesamario_2026_0722,test_B_2026,158,11,10,0.0114,0.0076,14590.5,True,True,True,True,True,PASS
tn_n_a_2026_0714,test_B_2026,110,11,10,0.0114,0.0053,13891.6,True,True,True,True,True,PASS
it_bivona_2026_0714,test_B_2026,161,11,10,0.0114,0.0029,13592.1,True,True,True,True,True,PASS
dz_n_a_2026_0716,test_B_2026,66,11,10,0.0114,0.0089,13097.8,True,True,True,True,True,PASS
tr_n_a_2026_0729_b,test_B_2026,50,11,11,0.0,0.0109,10798.4,True,True,True,True,True,PASS
dz_n_a_2026_0712,test_B_2026,115,11,11,0.0,0.0063,10438.9,True,True,True,True,True,PASS
es_san_bartolome_de_l_2026_0605,test_B_2026,33,11,11,0.0,0.0123,9065.4,True,True,True,True,True,PASS
ba_n_a_2026_0810,test_B_2026,68,11,9,0.0,0.0,8809.2,True,True,True,True,True,PASS
hr_knin_2026_0813,test_B_2026,88,11,10,0.0,0.0,8809.2,True,True,True,True,True,PASS
pt_castedo_2026_0808,test_B_2026,88,11,10,0.0,0.0044,7416.6,True,True,True,True,True,PASS
fr_solaure_en_diois_2026_0703,test_B_2026,64,11,11,0.0,0.0014,7233.3,True,True,True,True,True,PASS
al_puke_2026_0814,test_B_2026,72,11,10,0.0,0.0,3154.4,True,True,True,True,True,PASS
es_soba_2026_0224,test_B_2026,38,11,10,0.0,0.0,3073.8,True,True,True,True,True,PASS
mk_prilep_2026_0812,test_B_2026,60,11,9,0.0,0.0,2793.1,True,True,True,True,True,PASS
