event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
al_finiq_2025_0806,349,211,True,True,True,False,A2025,1.0421179160738308,mid,1210.78173828125,1584.6207275390625,1798.1917724609375,1803.556884765625,915.333251953125,1627.3564453125,1717.29052734375,1632.058349609375,1105.6815185546875,1499.1202392578125,1691.6944580078125,1870.8570556640625,1269.521728515625,1825.1748046875,2303.154296875,2695.27734375,0.046269385481929604,0.2789936309137703,0.12905664100173064,0.131797829189092,0.10838324026112656,0.17864292482687072,0.2192482392947851,0.25437452033768226,0.26548800473196155,0.3308455291445831,0.3944748011205943,0.30587586468519157,189,0.2799072781514348,0.2900491617868143,22,-0.6578013258927882,-0.2614324573011966
al_tirane_2025_0722,277,134,True,True,True,False,A2025,0.9074962213443313,mid,366.8704833984375,415.11822509765625,403.326171875,410.24066162109375,265.354248046875,378.9347839355469,414.4215087890625,414.9710388183594,300.6136169433594,364.9924011230469,413.5760803222656,418.5454406738281,354.3678894042969,504.16046142578125,670.8887939453125,747.6783447265625,-0.03528139644694628,0.25118991877920005,0.15169058503381916,0.17661487391595687,0.24838456616786708,0.27603921955554156,0.398818141672706,0.3822798762937094,0.3835400381482922,0.4513139714229317,0.4449872171032041,0.44020654921215263,84,0.3444023728453146,0.3381096967356776,50,0.5596489345817283,0.5128288880032484
ba_n_a_2025_0706,253,144,True,True,True,False,A2025,1.0959944246049582,high,102.55269622802734,125.24723052978516,129.87510681152344,131.94357299804688,95.05487823486328,127.43534088134766,130.2992706298828,130.0294952392578,108.15644073486328,129.54269409179688,137.6116943359375,140.00982666015625,127.80555725097656,173.6013946533203,208.06459045410156,217.83262634277344,0.19758812970361872,0.25625395108445514,0.15374227020134634,0.27853557409546037,0.26593135305258153,0.25379231917755085,0.375794283265256,0.37375566719207587,0.3386106975934753,0.3942892062898544,0.4030761258203436,0.35725961252543537,108,0.2829789764393409,0.2816894804870015,36,0.494851488049151,0.4918518689026815
ba_n_a_2025_0811,397,125,True,False,False,False,A2025,0.8785753414360258,mid,64.04290008544922,68.75019073486328,83.8979263305664,70.69435119628906,58.5081787109375,64.93704223632812,69.77269744873047,67.34730529785156,71.29159545898438,71.14588928222656,70.83525848388672,68.93914794921875,75.41600036621094,89.20320129394531,106.43360137939453,100.71839904785156,0.15080487198386716,0.224194091083737,0.05468872503446154,0.2292856115296199,0.2720323789462953,0.2024289683530045,0.21173459092582214,0.344448590064919,0.3344652669283784,0.2980989385792163,0.33133066118480803,0.3155257768099988,86,0.27739763717476507,0.28598406473021576,39,0.14389212574113763,0.40485377779536036
cy_n34e32_2025_0723,181,118,True,True,True,False,A2025,0.9874441907831304,mid,162.4813995361328,168.23133850097656,166.88059997558594,136.4926300048828,131.34158325195312,161.9888153076172,164.57566833496094,172.49574279785156,168.29498291015625,184.7628173828125,171.72679138183594,141.18682861328125,180.2923583984375,244.2296600341797,249.9601593017578,224.11355590820312,0.09878931653300205,0.2715077642853032,0.06654400438740515,0.3111756431326451,0.33673569670060954,0.24348739069220693,0.33237120490820404,0.34159240098626553,0.3129833495804294,0.39096664879660303,0.23031990591186824,0.37002102331056064,78,0.14811067749802698,0.14899765481615912,40,0.4238513967553038,0.4372100815354554
es_avila_2025_0808,349,47,True,False,False,False,A2025,1.4829332533307982,high,403.25653076171875,449.5977783203125,456.3972473144531,452.50506591796875,337.3424072265625,494.1378479003906,458.8996887207031,466.1400146484375,519.0062866210938,458.3915100097656,458.7488098144531,466.2638854980469,687.4786376953125,696.5595703125,757.031982421875,879.680908203125,0.41342681990296215,0.5093048878471899,0.24505830703191234,0.3545451136094393,0.290602169633957,0.3419205915093295,0.3971228984879078,0.3938173031308342,0.3940166063435826,0.485603175312426,0.47010329506798587,0.46996248167934207,34,0.0702743591964754,0.07011395249547336,13,0.8955251897833004,0.8874230613567733
es_buron_2025_0810,325,291,True,True,True,False,A2025,0.9895767329635048,mid,2501.000732421875,3070.4765625,3127.91796875,3452.528564453125,1844.075439453125,3242.206298828125,3530.025634765625,3755.2900390625,2197.504150390625,2875.598876953125,3246.2021484375,3470.96826171875,2260.1630859375,2691.775634765625,3167.1943359375,3750.01123046875,-0.10655764089894304,0.18409629334857702,0.027723192161102195,-0.14068814757190884,-0.20448608604425034,-0.06829069994294135,0.012400996914473827,-0.11455921561590121,-0.024945678767960278,0.07932847336524906,-0.0014076780759642027,0.07441123548718542,241,0.04258868675240546,-0.10801047767886818,50,-0.09827268276948975,-0.1385679961628219
es_caceres_2025_0808,349,107,True,False,False,False,A2025,0.9724523831731698,mid,1299.520263671875,1644.501708984375,1843.3677978515625,1756.94189453125,1042.266357421875,1681.275146484375,2005.806396484375,1881.158447265625,1153.1004638671875,1674.3831787109375,1910.576416015625,2001.2259521484375,1325.51953125,2246.42431640625,3179.951416015625,3703.762939453125,0.019614397951274953,0.2136921917408563,0.1300765951145335,0.2679469782382028,0.2515772135274874,0.2546451859150295,0.42031573546452417,0.3692336347082985,0.39918062697652323,0.5256332753330403,0.49209534248879727,0.45967763464798683,78,0.4326996625768763,0.35965253938659314,29,0.403167690206952,0.3825006815497076
es_carballeda_de_avia_2025_0815,181,104,True,False,False,False,A2025,0.8778904663446933,mid,451.7949523925781,581.2254638671875,651.4998779296875,624.583740234375,211.79237365722656,441.9267272949219,627.8916625976562,613.6566772460938,361.14251708984375,577.1534423828125,628.1140747070312,602.2650756835938,341.7259521484375,686.860595703125,967.2635498046875,995.866455078125,-0.32209728161450646,0.38022742397618936,-0.05681911139418583,0.15379413595243585,0.3565990973138725,0.15972259000824984,0.32645050249103247,0.3508577236013475,0.3506277840885643,0.3728237987638846,0.38379621673475006,0.39523510144103957,74,0.1259724592872048,0.18824364968602658,30,0.5538033712273353,0.5352705939385652
es_llerena_2025_0814,205,41,True,True,True,False,A2025,1.2218125149885242,high,50.35606002807617,52.47611999511719,54.51755905151367,41.16529846191406,47.10041809082031,123.41071319580078,56.206138610839844,43.23637008666992,51.60824203491211,50.06835174560547,51.43136215209961,39.25083923339844,50.31219482421875,50.31219482421875,50.31219482421875,37.27804946899414,-0.000871860271862035,0.06383694340149093,-0.02576010081097646,-0.04300995371914862,-1.4528986188532298,0.004846599904162807,-0.0835853860478093,-0.11714741937244866,-0.022244454486452403,-0.1042771563504985,-0.1598345595477464,-0.052920949258494776,33,-0.11046023478001166,-0.2442694064641513,8,-0.006722661242335004,0.24642509202671203
es_murias_de_paredes_2025_0821,181,169,True,False,False,False,A2025,0.7297570722110295,low,2185.16943359375,2743.944580078125,3015.944580078125,2992.92578125,1492.0992431640625,2804.21875,3222.2666015625,3125.00341796875,1771.6236572265625,2542.935302734375,2978.8095703125,3009.22119140625,1718.671630859375,2514.43408203125,3428.970703125,4341.24560546875,-0.27142927965891617,0.13182994565519257,-0.030809856528969615,-0.09127719819223423,-0.1152484648691412,-0.011335043899858732,0.12045192531696547,0.060281676181753285,0.1312817086486754,0.3105836312325305,0.28015972788267873,0.30683000574409414,135,0.17577083008130834,0.11503748095662258,34,-0.31469359099763294,-0.3704357800553668
es_navaconcejo_2025_0812,205,200,True,True,True,False,A2025,0.698647039684775,low,2524.371826171875,3187.847412109375,3372.864990234375,3225.597900390625,1526.017822265625,2697.45166015625,3003.487548828125,3153.136962890625,1693.0859375,2260.76416015625,2818.306884765625,3084.728759765625,1672.6031494140625,2122.027587890625,2872.340087890625,3549.027587890625,-0.5092473232853827,0.08763903571495035,-0.012246053759442432,-0.5022648293079992,-0.271167102420953,-0.06537925004242484,-0.17425683833675953,-0.045658751026871336,0.018811561817765332,0.0911319169801752,0.11154904130663545,0.1308242375204971,152,-0.2415149169947921,-0.08606360644554378,48,-0.07128555526413072,0.016200478716922984
es_oimbra_2025_0813,229,220,True,False,False,False,A2025,0.889396814880961,mid,5497.724609375,7262.0615234375,8058.59228515625,8272.3447265625,3590.854248046875,7578.138671875,8406.146484375,8684.7705078125,4530.7822265625,6040.60791015625,7024.3076171875,7342.91064453125,4952.5283203125,7703.14794921875,10940.806640625,13363.14453125,-0.11008443643348986,0.2749452368966372,0.08515773489274836,0.05726054188352758,0.01622833654083311,0.21582605579204983,0.2634370983915041,0.2316703182412888,0.35797168820212033,0.38095822377603983,0.35009529474870393,0.4505102726862157,163,0.20221618839557398,0.19917050922661073,57,0.4085125583146013,0.3086850522527662
es_peranzanes_2025_0810,181,181,True,False,False,False,A2025,0.8958379429098421,mid,4100.041015625,4979.7451171875,5046.1328125,5164.2333984375,2662.625,4389.28662109375,4985.26318359375,5442.70947265625,3286.780029296875,4037.580078125,4455.96630859375,4978.56884765625,3137.437744140625,4302.7041015625,4797.033203125,5289.8095703125,-0.30681191149755915,0.1513377420882277,-0.04760007921596432,-0.15735244619288058,-0.020122815208186928,0.06161800048979005,-0.05192784765649017,-0.03923883210692147,0.07109954842694521,0.023739261348794005,-0.02890461373162756,0.05883779340621198,151,-0.019008489196352008,-0.00036288741616230524,30,-0.18600067130831355,-0.1975720103116516
es_puertas_2025_0813,181,66,True,True,True,False,A2025,1.2804759550903553,high,1195.4150390625,1533.1513671875,1601.898193359375,1618.4766845703125,787.869140625,1360.451171875,1655.24267578125,1547.147705078125,1001.17529296875,1462.5133056640625,1641.768798828125,1700.4425048828125,1075.560546875,1921.378662109375,2879.26953125,3276.024169921875,-0.11143444461191199,0.2674804380709913,0.06915952256000235,0.20205662869996788,0.2919401059750314,0.23882088705073345,0.44364423824402077,0.4251171493963448,0.4297967658083851,0.5059631429370959,0.527736175061547,0.48094323586038623,42,0.37882666902302875,0.33762118086874826,24,0.4803425336320033,0.4746554994768639
