event,block,n_windows,n_fire,evaluable,volatility_V,vol_tertile,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_B6_t1,SS_M2_t1,SS_M1_t1,SS_B6_t3,SS_M2_t3,SS_M1_t3,SS_B6_t6,SS_M2_t6,SS_M1_t6,SS_B6_t12,SS_M2_t12,SS_M1_t12,n_fire_calm,SS_B6_t6_calm,SS_M2_t6_calm,SS_M1_t6_calm,n_fire_exc,SS_B6_t6_exc,SS_M2_t6_exc,SS_M1_t6_exc
es_navaconcejo_2025_0812,A2025,205,200,True,0.698647039684775,low,1526.017822265625,2697.45166015625,3003.487548828125,3153.136962890625,2524.371826171875,3187.847412109375,3372.864990234375,3225.597900390625,1693.0859375,2260.76416015625,2818.306884765625,3084.728759765625,1672.6031494140625,2122.027587890625,2872.340087890625,3549.027587890625,0.08763903571495035,-0.5092473232853827,-0.012246053759442432,-0.271167102420953,-0.5022648293079992,-0.06537925004242484,-0.045658751026871336,-0.17425683833675953,0.018811561817765332,0.11154904130663545,0.0911319169801752,0.1308242375204971,152,-0.08606360644554378,-0.2415149169947921,-0.015115680168764634,48,0.016200478716922984,-0.07128555526413072,0.0707533492630279
es_navaluenga_2026_0722,B2026,178,112,True,0.6595318613906686,low,3613.063720703125,7263.15966796875,8657.669921875,7823.85986328125,7728.2734375,9228.1669921875,9178.2880859375,7824.28955078125,4399.34326171875,6277.55810546875,7675.74560546875,7132.90283203125,4214.14892578125,7022.7509765625,9768.5673828125,11438.7294921875,0.14263501733429873,-0.8338871201774807,-0.04394584510398314,-0.03423283727538995,-0.3140387610190485,0.10611124808223049,0.11372163567117233,0.06042639352763013,0.21424039936767048,0.31602020411227993,0.31598263984429953,0.37642525449151254,79,0.2827207846876467,0.25500080486850296,0.3544031450043895,33,-0.25471901364015825,-0.3637714303057009,-0.09133311901154184
es_niebla_2026_0807,B2026,181,151,True,0.7544409313589949,low,2999.73583984375,5395.22998046875,7314.29150390625,8220.8310546875,4934.57470703125,6636.865234375,7168.73828125,7602.69873046875,3755.873779296875,5355.47265625,6587.45751953125,7372.1455078125,4505.74853515625,7503.080078125,10611.388671875,12452.2958984375,0.33424250899973373,-0.09517312573683823,0.16642623306836868,0.28093130763746244,0.11544790069286648,0.2862301081040417,0.31071307158011796,0.3244297704172864,0.37920872345473455,0.33981402933743,0.3894540579121053,0.4079689747223604,97,0.31387261762625795,0.3274402817976295,0.38604479659182944,54,0.30511105655455906,0.31909208060943517,0.3670879335002277
es_nules_2026_0725,B2026,181,78,True,0.8987290435623497,mid,421.96124267578125,535.7745971679688,515.7936401367188,429.5609436035156,527.0277709960938,506.490478515625,496.3921813964844,341.6852722167969,554.5587158203125,568.8074951171875,494.841796875,472.6789245605469,538.9872436523438,600.8641967773438,661.3154296875,735.9334106445312,0.21712202348901288,0.022188786092986024,-0.028890242489695295,0.10832664012679494,0.15706330776218624,0.05335099317298009,0.2200489857306771,0.2493866631373609,0.2517310580386215,0.4163046039351499,0.5357116998974831,0.3577150898114896,42,0.054931662117928104,0.07489448950164557,0.08567128126784895,36,0.5046146826688582,0.5501091011052686,0.5379212332827454
es_oimbra_2025_0813,A2025,229,220,True,0.889396814880961,mid,3590.854248046875,7578.138671875,8406.146484375,8684.7705078125,5497.724609375,7262.0615234375,8058.59228515625,8272.3447265625,4530.7822265625,6040.60791015625,7024.3076171875,7342.91064453125,4952.5283203125,7703.14794921875,10940.806640625,13363.14453125,0.2749452368966372,-0.11008443643348986,0.08515773489274836,0.01622833654083311,0.05726054188352758,0.21582605579204983,0.2316703182412888,0.2634370983915041,0.35797168820212033,0.35009529474870393,0.38095822377603983,0.4505102726862157,163,0.19917050922661073,0.20221618839557398,0.31719450320126863,57,0.3086850522527662,0.4085125583146013,0.45460128651566534
es_penas_de_riglos_la_2026_0810,B2026,181,154,True,1.0888965078117283,high,520.888427734375,840.3850708007812,849.0318603515625,811.885986328125,785.9903564453125,953.5584716796875,964.5807495117188,987.1934814453125,596.2949829101562,711.0388793945312,780.01513671875,832.4381713867188,627.5396118164062,873.0993041992188,1110.2734375,1101.3609619140625,0.16995131793088025,-0.25249520770533085,0.04978909429448253,0.03746908655303771,-0.0921535123135433,0.18561511162046407,0.23529480966118987,0.13122234853815573,0.2974567251873482,0.26283388062244095,0.1036603660532307,0.24417316377364695,139,0.23671650781259634,0.12479461248175361,0.30287311755914403,15,0.18201078536800386,0.3721186318370573,0.09446308598657249
es_peranzanes_2025_0810,A2025,181,181,True,0.8958379429098421,mid,2662.625,4389.28662109375,4985.26318359375,5442.70947265625,4100.041015625,4979.7451171875,5046.1328125,5164.2333984375,3286.780029296875,4037.580078125,4455.96630859375,4978.56884765625,3137.437744140625,4302.7041015625,4797.033203125,5289.8095703125,0.1513377420882277,-0.30681191149755915,-0.04760007921596432,-0.020122815208186928,-0.15735244619288058,0.06161800048979005,-0.03923883210692147,-0.05192784765649017,0.07109954842694521,-0.02890461373162756,0.023739261348794005,0.05883779340621198,151,-0.00036288741616230524,-0.019008489196352008,0.1270915604825229,30,-0.1975720103116516,-0.18600067130831355,-0.15694253809657566
es_pinofranqueado_2026_0818,B2026,99,73,True,0.989243852357504,mid,105.67334747314453,57.85658645629883,76.82708740234375,38.82542419433594,87.96607971191406,63.23836898803711,40.304019927978516,34.822242736816406,105.2821273803711,77.50669860839844,76.10407257080078,92.52410125732422,160.4602813720703,219.99041748046875,244.29864501953125,240.1534423828125,0.34143610761773213,0.45178907228798226,0.34387421933876483,0.7370040608180788,0.7125403473828511,0.6476814786022229,0.6855197973111904,0.835021516698317,0.6884793504903951,0.8383307613286386,0.8550000266858194,0.6147292316974672,47,0.634291711218194,0.8316729393336886,0.6546015959338451,26,0.7965839367281025,0.8422812547284746,0.761927314108003
es_puertas_2025_0813,A2025,181,66,True,1.2804759550903553,high,787.869140625,1360.451171875,1655.24267578125,1547.147705078125,1195.4150390625,1533.1513671875,1601.898193359375,1618.4766845703125,1001.17529296875,1462.5133056640625,1641.768798828125,1700.4425048828125,1075.560546875,1921.378662109375,2879.26953125,3276.024169921875,0.2674804380709913,-0.11143444461191199,0.06915952256000235,0.2919401059750314,0.20205662869996788,0.23882088705073345,0.4251171493963448,0.44364423824402077,0.4297967658083851,0.527736175061547,0.5059631429370959,0.48094323586038623,42,0.33762118086874826,0.37882666902302875,0.38760477688719297,24,0.4746554994768639,0.4803425336320033,0.45368485681196746
es_rua_a_2025_0808,A2025,397,397,True,0.6854530528585924,low,8423.8271484375,15098.6572265625,16613.73046875,17806.80859375,11362.6484375,14538.33984375,15768.01171875,17254.56640625,8838.6826171875,12283.4970703125,14354.2138671875,16062.58984375,8941.765625,13207.50390625,17455.931640625,21905.556640625,0.05792351290380637,-0.2707387907519663,0.011528260987325956,-0.14318779185956365,-0.10076362247905357,0.06996074674641928,0.04824727715563193,0.09669606622122207,0.17768846930053883,0.1871099700463058,0.21232011177243926,0.2667344588741887,315,-0.012104750729593716,0.03194149931588064,0.13553388132764166,82,0.20336168816092304,0.26312572081377683,0.2860323554935973
es_san_bartolome_de_l_2026_0605,B2026,181,85,True,0.9935055068875079,mid,499.3526306152344,908.5575561523438,970.894775390625,987.259765625,838.1982421875,911.5933837890625,922.453125,951.3108520507812,706.9766845703125,945.7446899414062,993.138671875,942.0516357421875,786.2882080078125,1291.48583984375,1479.7847900390625,1522.4083251953125,0.364924177255024,-0.0660190928097597,0.10086826004735394,0.2965021155305386,0.2941514682814088,0.2677080454433578,0.3438946109420439,0.37663021595481483,0.3288627653425309,0.35151447263772506,0.3751276603609377,0.38120961364203654,59,0.35085052535905414,0.3740938595398642,0.3083525366529206,26,0.3317524338907356,0.38105756949076997,0.36466526940262634
es_soba_2026_0224,B2026,181,77,True,0.8993692188681125,mid,50.9142951965332,56.89434814453125,57.04338836669922,58.49483108520508,52.623287200927734,57.1348876953125,57.37688446044922,57.70896530151367,57.06201934814453,56.6293830871582,59.87069320678711,65.17749786376953,69.63636016845703,78.37142944335938,78.9922103881836,93.57142639160156,0.2688547323069924,0.24431307044729278,0.18057148291343728,0.27404223007505624,0.27097300507189237,0.27742311848368917,0.27786058794434865,0.2736387021139467,0.24206838987578028,0.3748643860530565,0.3832629518759447,0.3034465714886282,53,0.242155274833029,0.23137057182895404,0.19574179684589754,24,0.32191638816071344,0.325792281823703,0.29922961611806875
es_una_de_quintana_2025_0810,A2025,181,179,True,1.0565456689534196,mid,1698.2247314453125,2547.197509765625,2666.92822265625,2692.995849609375,2502.689697265625,2897.32080078125,2765.29638671875,2781.11279296875,2141.4052734375,2554.817138671875,2603.4580078125,2756.9365234375,2453.947509765625,3366.376708984375,3491.887451171875,3954.55029296875,0.307962079593337,-0.019862766952442046,0.12736304875485116,0.24334151226524314,0.13933553750870553,0.24107806121239028,0.2362502343077436,0.20807974902206017,0.254426712138508,0.31901337697043275,0.2967309587859812,0.30284449072771313,127,0.18506823373320658,0.1543330894295979,0.19051498888599427,52,0.2815913369122589,0.2556929002381899,0.3110451549521154
